"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1011","樟樹國小","48","3","汐止區","20220109141926","25.066688","121.640367","樟樹二路/樟樹一路141巷","Xizhi Dist.","Zhangshu Elementary School","Zhangshu 2nd Rd./Ln. 141, Zhangshu 1st Rd.","45","1"
"1012","金龍國小","52","17","汐止區","20220109141919","25.0688","121.628908","中興路/民族六街","Xizhi Dist.","Jinlong Elementary School","Zhongxing Rd./Minzu 6th St.","35","1"
"1013","白雲國小","36","13","汐止區","20220109141918","25.047578","121.618888","民權街二段90號","Xizhi Dist.","Pai Yun Primary School","No.90, Sec. 2, Minquan St.","23","1"
"1014","東勢宜興活動中心","52","21","汐止區","20220109141818","25.039031","121.624333","東勢街/芳園街","Xizhi Dist.","Yixing-Dongshi Civic Center","Dongshi St./Fangyuan St.","31","1"
"1015","後港公園","40","18","新莊區","20220109141927","25.025358","121.428348","建安街/建安街57巷","Xinzhuang Dist.","Hougang Park","Ln. 57, Jian’an St./Jian’an St.","16","1"
"1016","福營行政中心","42","12","新莊區","20220109141918","25.0241250","121.423870","四維路17號-20號","Xinzhuang Dist.","Fuying Administration Center","No.17, Siwei Rd./No.20, Siwei Rd.","20","1"
"1017","西盛公園","36","11","新莊區","20220109141945","25.017113","121.428048","新莊區西盛街/西盛街201巷","Xinzhuang Dist.","Xisheng Park","Xisheng St./Ln. 201, Xisheng St.","25","1"
"1018","忠誠里(北新路2段97巷)","20","8","新店區","20220109141924","24.974272","121.542779","北新路二段/北新路二段97巷","Xindian Dist.","Zhongcheng Village (Ln. 97, Sec. 2, Beixin Rd)","Sec. 2, Beixin Rd./Ln. 97, Sec. 2, Beixin Rd.","8","1"
"1019","仁愛廣場","50","6","蘆洲區","20220109141945","25.090565","121.471621","民權路139號旁","Luzhou Dist.","Renai Square","No.139, Minquan Rd.","44","1"
"1020","重陽國小","36","4","三重區","20220109141959","25.066245 ","121.484337 ","中正北路/三民街175巷","Sanchong Dist.","Chong Yang Elementary School","Zhongzheng N. Rd./Ln. 175, Sanmin St.","10","1"
"1021","明志國中","50","18","三重區","20220109141945","25.063396","121.488982","中正北路107號","Sanchong Dist.","Mingzhi Junior High School","No.107, Zhongzheng N. Rd","32","1"
"1022","三重商工","64","9","三重區","20220109141921","25.068681","121.480705","中正北路/中正北路276巷","Sanchong Dist.","San-Chung Commercial and Industrial Vocational High School","Ln. 276, Zhongzheng N. Rd.","54","1"
"1023","捷運新莊站(1號出口)","58","16","新莊區","20220109141930","25.036152 ","121.452069 ","中正路/中華路一段(鄰近新莊廟街)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 1)","Zhongzheng Rd./Sec. 1, Zhonghua Rd.","17","1"
"1024","原興廣場","52","14","汐止區","20220109141936","25.065042","121.633149","原興路/中興路150巷","Xizhi Dist.","Yuan Xing Square","Yuanxing Rd./Ln. 150, Zhongxing Rd.","38","1"
"1025","文化白雲公園","68","6","汐止區","20220109141924","25.056875","121.655207","水源路二段42號訖水源路二段68號","Xizhi Dist.","Wenhua-Baiyun Park","No.42 to No.68, Sec. 2, Shuiyuan Rd.","61","1"
"1026","秀山國小","62","21","中和區","20220109141924","24.996151 ","121.521988 ","更生街/自立路(西南側)","Zhonghe Dist.","Xiushan Elementary School","Gengsheng St./Zili Rd.","41","1"
"1027","捷運永安市場站","60","35","中和區","20220109141920","25.001013 ","121.511588 ","中安街/中和路378巷(東南側)","Zhonghe Dist.","MRT Yongan Market Sta.","Zhong’an St./Ln. 378, Zhonghe Rd.","21","1"
"1028","福和國中","58","3","永和區","20220109141924","25.005952","121.520930","永貞路/永亨路(東南側)","Yonghe Dist.","Fuhe Junior High School","Yongzhen Rd./Yongheng Rd.","54","1"
"1029","仁愛公園","60","17","永和區","20220109141942","25.009838","121.505825","仁愛路/保生路(鄰近世界宗教博物館)","Yonghe Dist.","Renai Park","Ren’ai Rd./Baosheng Rd.","41","1"
"1030","中和公園","44","14","中和區","20220109141926","25.000726 ","121.514350 ","安樂路/得和路(西南側)","Zhonghe Dist.","Zhonghe Park","Anle Rd./Dehe Rd.","30","1"
"1031","金龍公園","52","14","汐止區","20220109141934","25.069473","121.631525 ","湖前街31巷2弄/湖前街31巷","Xizhi Dist.","Jinlong Park","Aly. 2, Ln. 31, Huqian St./Ln. 31, Huqian St.","38","1"
"1032","重陽公園","50","20","蘆洲區","20220109141943","25.085688","121.483618","集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Chong Yang Park","Ln. 221, Jixian Rd.","23","1"
"1033","捷運三民高中站(1號出口)","66","33","蘆洲區","20220109141923","25.085815 ","121.472722 ","三民路105號(鄰近湧蓮寺/紫禁城博物館)","Luzhou Dist.","MRT Sanmin Senior High School Sta. (Exit 1)","No.105, Sanmin Rd.","31","1"
"1034","中原公園","58","17","蘆洲區","20220109141936","25.083316 ","121.463894 ","長興路22號前通道","Luzhou Dist.","Zhung Yuan Park","No.22, Changxing Rd.","40","1"
"1035","丹鳳派出所","38","8","新莊區","20220109141930","25.027694 ","121.414662 ","雙鳳路77巷丹鳳派出所前","Xinzhuang Dist.","Danfeng Police Substation","Ln. 77, Shuangfeng Rd.(Danfeng Police Station)","18","1"
"1036","小金門友誼公園","48","3","新店區","20220109141916","24.977227","121.538140","民族路/建興街","Xindian Dist.","Little Kinmen Park","Minzu Rd./Jianxing St.","45","1"
"1037","中興寶橋路口","52","42","新店區","20220109141816","24.976180 ","121.546870 ","中興路三段1號旁","Xindian Dist.","Zhongxing & Baoqiao Intersection　","No.1, Sec. 3, Zhongxing Rd.","10","1"
"1038","新莊棒球場","74","23","新莊區","20220109141940","25.041603 ","121.446053 ","和興街75號/復興路一段23號(鄰近新莊綜合運動場)","Xinzhuang Dist.","Xinzhuang Baseball Court","No.75, Hexing St./No.23, Sec. 1, Fuxing Rd.","51","1"
"1039","頂溪國小","36","11","永和區","20220109141947","25.015811","121.511261","文化路133號(西側)(鄰近永和親子圖書閱覽室)","Yonghe Dist.","Tinghsi Elementary School","No.133, Wenhua Rd.","25","1"
"1040","永和國小","30","1","永和區","20220109141824","25.002272 ","121.517442 ","中正路390號至426號對面","Yonghe Dist.","Yonghe Elementary School","No.390 to No.426, Zhongzheng Rd.(opposite)","29","1"
"1041","秀朗國小","40","14","永和區","20220109141924","24.999392 ","121.522843 ","民生路15號至23號對面","Yonghe Dist.","Xiu Lang Elementary School","No.15 to No.23, Minsheng Rd.(opposite)","26","1"
"1042","台北慈濟醫院","40","27","新店區","20220109141922","24.985872 ","121.536887 ","建國路289號旁空地","Xindian Dist.","Taipei Tzu Chi Hospital","No.289, Jianguo Rd.","5","1"
"1043","捷運頂溪站(1號出口)","36","9","永和區","20220109141916","25.012176 ","121.515271 ","中興街1號對面","Yonghe Dist.","MRT Dingxi Sta. (Exit 1)","No.1, Zhongxing St.(opposite)","27","1"
"1044","保安永平路口","42","4","永和區","20220109141933","25.012691 ","121.506471 ","保安路248號至250號對面","Yonghe Dist.","Bao'an & Yongping Intersection","No.248 to No.250, Bao’an Rd.","38","1"
"1045","崇光女中","36","10","新店區","20220109141920","24.972127 ","121.539554 ","三民路14號至三民路18號","Xindian Dist.","Our Lady of Providence Girls' High School","No.14 to No.18, Sanmin Rd.","25","1"
"1046","新店高中","42","24","新店區","20220109141920","24.974181 ","121.534209 ","三民路159巷/三民路108號(對面人行道)","Xindian Dist.","Hsin Tien Senior High School","Ln. 159, Sanmin Rd./ No.108, Sanmin Rd.","17","1"
"1047","新莊文化藝術中心","48","14","新莊區","20220109141932","25.047150 ","121.444453 ","中平路133號前(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Xinzhuang Culture and Arts Center","No.133, Zhongping Rd.","34","1"
"1048","中華中原路口","58","21","新莊區","20220109141928","25.054232","121.451752","中原路/中華路二段","Xinzhuang Dist.","Zhonghua & Zhongyuan Intersection","Zhongyuan Rd./Sec. 2, Zhonghua Rd","37","1"
"1049","新北高中","60","24","三重區","20220109141935","25.087225 ","121.489525 ","三信路1號旁","Sanchong Dist.","New Taipei Senior High School","No.1, Sanxin Rd.","36","1"
"1050","福壽公園","36","14","新莊區","20220109141942","25.051829 ","121.457746 ","福壽街130號至140號(對面福壽公園)","Xinzhuang Dist.","Fushou Park","No.130 to No.140, Fushou St.","21","1"
"1051","保長公園","60","18","汐止區","20220109141936","25.079523 ","121.674342 ","保長路/保長路45巷","Xizhi Dist.","Baochang Park"," Baochang Rd./Ln. 45, Baochang Rd.","41","1"
"1052","新店公有中央市場","28","11","新店區","20220109141932","24.975308","121.527287","中央四街64號對面","Xindian Dist.","Zhongyang Market","No.64, Zhongyang 4th St. (opposite)","17","1"
"1053","永平高中","34","25","永和區","20220109141930","25.009790","121.509092","永平路/永平路203巷口(靠學校圍牆路側)(鄰近樂華夜市/世界宗教博物館)","Yonghe Dist.","Yong-Ping High School","Yongping Rd./Ln. 203, Yongping Rd.","8","1"
"1054","惠國市場","28","8","新店區","20220109141945","24.970415 ","121.543384 ","中正路75巷至中正路95巷間(鄰近馬公友誼公園)","Xindian Dist.","Huiguo Market","Ln. 75 to Ln. 95 , Zhongzheng Rd.","19","1"
"1055","陽光橋","40","3","新店區","20220109141928","24.978494 ","121.524176 ","溪園路/中山路","Xindian Dist.","Sunshine Bridge","Xiyuan Rd./Zhongshan Rd.","37","1"
"1056","中興寶慶街口","42","29","新店區","20220109141937","24.986942 ","121.541950 ","中興路三段/寶慶街","Xindian Dist.","Zhongxing & Baoqing Intersection","Sec. 3, Zhongxing Rd./Baoqing St.","11","1"
"1057","東方科學園區","52","8","汐止區","20220109141939","25.061262","121.649512","新台五路一段90-116號","Xizhi Dist.","Oriental Science Park","No.90 to No.116, Sec. 1, Xintai 5th Rd.","44","1"
"1058","連興龍安路口","62","30","汐止區","20220109141919","25.062989","121.654430","連興路/龍安路28巷","Xizhi Dist.","Lianxing & Long’an Intersection","Lianxing St./Ln. 28, Long’an Rd.","24","1"
"1059","青山國民中小學","50","41","汐止區","20220109141920","25.061034","121.655586","莊敬街33號","Xizhi Dist.","Qingshan Elementary and Junior High School","No.33, Zhuangjing St.","9","1"
"1060","汐止區綜合運動場","44","28","汐止區","20220109141932","25.066238","121.659067","汐科路/秀峰路","Xizhi Dist.","Xizhi Sports Field","Xike Rd./Xiufeng Rd.","16","1"
"1061","汐止公園","52","26","汐止區","20220109141926","25.067682","121.659763","大同路二段451號","Xizhi Dist.","Xizhi Park","No.451, Sec. 2, Datong Rd.","25","1"
"1062","保順環河西路口","58","32","永和區","20220109141917","25.010786","121.503376","保順環河西路口","Yonghe Dist.","Baoshun & Huanhe W. Intersection","Baoshun & Huanhe W. Intersection","26","1"
"1063","台灣科學園區","40","12","汐止區","20220109141919","25.057900","121.634899","大同路一段237號前空地","Xizhi Dist.","Taiwan Science Park","No.237, Sec. 1, Datong Rd.","28","1"
"1064","中正國小","32","5","新店區","20220109141928","24.971496","121.536296","三民路36號-42-1號前機車格","Xindian Dist.","Chung Cheng Elementary School","No. 36 to No.42-1, Sanmin Rd.","27","1"
"1065","開元市民活動中心","34","18","三重區","20220109141942","25.066074","121.503557","開元街58號/長元街65巷16弄對面","Sanchong Dist.","Kaiyuan Civic Activity Center","No.58, Kaiyuan St./Aly. 16, Ln. 65, Changyuan St. (opposite)","16","1"
"1066","雍和科學園區","44","4","汐止區","20220109141939","25.058078","121.626018","南陽街185號","Xizhi Dist.","Taipei Park","No.185, Nanyang St.","39","1"
"1067","二重國小","46","17","三重區","20220109141920","25.065976","121.477656","頂崁街164號至188號(對面二重國小)","Sanchong Dist.","Er Chong Elementary School","No.164 to No.188, Dingkan St. (opposite)","28","1"
"1068","二重國中","70","22","三重區","20220109141922","25.065957","121.480465","忠孝路三段75巷1號至忠孝路三段75巷11號(對面人行道)","Sanchong Dist.","Er Chung Junior High School","No.1, Ln. 75, Sec. 3, Zhongxiao Rd. to No.11, Ln. 75, Sec. 3, Zhongxiao Rd. (opposite)","48","1"
"1069","三重行政中心","44","13","三重區","20220109141944","25.060566","121.488229","新北大道一段15巷至新北大道一段5巷2弄(區公所人行道)","Sanchong Dist.","Sanchong District office","Ln. 12, Zhongshan Rd.,/Aly. 2, Ln. 5, Sec. 1, New Taipei Blvd.","30","1"
"1070","新北市立圖書館三重分館","50","34","三重區","20220109141931","25.066099","121.495529","自強路一段162號至自強路一段二弄4號(對面停車場)","Sanchong Dist.","New Taipei City Library Sanchong Branch","No.162, Sec. 1, Ziqiang Rd. to No.4, Aly. 2, Sec. 1, Ziqiang Rd. (opposite)","16","1"
"1071","三張公園","40","16","三重區","20220109141919","25.070507","121.490935","大智街127號至大智路137號(對面三張公園)","Sanchong Dist.","Sanzhang Park","No.127, Dazhi St. to No.137, Dazhi St. (opposite)","24","1"
"1072","捷運丹鳳站(1號出口)","46","16","新莊區","20220109141945","25.029032","121.422799","中正路/民安路","Xinzhuang Dist.","MRT Danfeng Sta. (Exit 1)","Zhongzheng Rd./Min’an Rd","24","1"
"1073","永福橋","50","10","永和區","20220109141918","25.010032","121.524184","豫溪街217巷27號對面人行道","Yonghe Dist.","Yongfu Bridge","No.27, Ln. 217, Yuxi St. (opposite)","40","1"
"1074","中港國小","50","22","新莊區","20220109141944","25.045673","121.44780","中和街70號對面","Xinzhuang Dist.","Zhonggang Elementary School","No.70, Zhonghe St. (opposite)","28","1"
"1075","六合公園","40","16","三重區","20220109141940","25.069499","121.487588","自強路二段74巷27號對面","Sanchong Dist.","Liuhe Park","No.27, Ln. 74, Sec. 2, Ziqiang Rd. (opposite)","24","1"
"1076","正義公園","44","11","三重區","20220109141931","25.068551","121.497818","文化北路101號至119號對面","Sanchong Dist.","Zhengyi Park","No.101 to No. 119, Wenhua N. Rd. (opposite)","32","1"
"1077","捷運徐匯中學站(1號出口)","48","23","蘆洲區","20220109141926","25.080468","121.479852","中山一路3號(捷運徐匯中學站1號出口旁)","Luzhou Dist.","MRT St.Ignatius High School Sta. (Exit 1)","No.3, Zhongshan 1st Rd.","25","1"
"1078","黃城公園","32","12","新莊區","20220109141937","25.052382","121.448239","中信街74號旁","Xinzhuang Dist.","Huangcheng Park","No.74, Zhongxin St.","20","1"
"1079","捷運菜寮站(3號出口)","30","26","三重區","20220109141918","25.060471","121.492198","重新路三段67號旁","Sanchong Dist.","MRT Cailiao Sta. (Exit 3)","No.67, Sec. 3, Chongxin Rd.","4","1"
"1080","捷運三和國中站(1號出口)","80","16","三重區","20220109141926","25.075881","121.487795","三和路四段95號至97號對面(捷運三和國中站1號出口)","Sanchong Dist.","MRT Sanhe Junior High School Sta.","No.95 to N0. 97, Sec. 4, Sanhe Rd. (opposite)","63","1"
"1081","中和國民運動中心","50","32","中和區","20220109141932","24.993477","121.487692","和城路一段/中正二橋","Zhonghe Dist.","Zhonghe Civil Sports Center","Sec. 1, Hecheng Rd./  Zhongzheng Second Bridge ","17","1"
"1082","四維公園","40","8","新莊區","20220109141943","25.021308","121.422185","四維路181號對面(四維活動中心出口前)","Xinzhuang Dist.","Siwei Park","No.181, Siwei Rd. (opposite)","32","1"
"1083","蘆洲國民運動中心","42","15","蘆洲區","20220109141925","25.091945","121.461613","長興路237巷/長興路","Luzhou Dist.","Luzhou Civil Sports Center","Ln. 237, Changxing Rd./Changxing Rd.","27","1"
"1084","和平公園","26","17","三重區","20220109141931","25.070884","121.485712","忠孝路二段/忠孝路二段32巷","Sanchong Dist.","Helping Park","Zhongxiao Rd./Ln. 32, Sec. 2, Zhongxiao Rd.","9","1"
"1085","三重綜合體育館","52","28","三重區","20220109141941","25.061446","121.491926","新北大道一段1號前人行道","Sanchong Dist.","Sanchong Sports Center","No.1, Sec. 1, New Taipei Blvd.","24","1"
"1086","信義公園","24","8","三重區","20220109141932","25.064804","121.498749","信義西街18號對面人行道(鄰近三和夜市)","Sanchong Dist.","Xinyi Park","No.18, Xinyi W. St. (opposite)","16","1"
"1087","捷運小碧潭站(1號出口)","44","22","新店區","20220109141932","24.97152","121.53029","捷運小碧潭站1號出口旁西側人行道(環河路側)(鄰近小碧潭景觀廣場)","Xindian Dist.","MRT Xiaobitan Sta. (Exit.1)","MRT Xiaobitan Sta. (Exit.1) (Huanhe Rd.)","21","1"
"1088","秀得里(成功路二段)","20","0","永和區","20220109141931","25.000705","121.526729","成功路二段28號至34號","Yonghe Dist.","Xiu de Village (Chenggong Rd. Sec. 2)","No.28 to No.34, Sec. 2, Chenggong Rd.","20","1"
"1089","永平公園","44","5","蘆洲區","20220109141943","25.089987","121.459424","永樂街38巷42弄公園人行道(永平市場南側)","Luzhou Dist.","Yongping Park","Aly. 42, Ln. 38, Yongle St.","33","1"
"1090","永康公園","34","4","蘆洲區","20220109141929","25.084920","121.458210","長安街297號(對面)","Luzhou Dist.","Yongkang Park","No.297, Chang’an St., Luzhou Dist.(opposite)","30","1"
"1091","頭前運動公園","50","14","新莊區","20220109141940","25.052180","121.462124","頭成街165號對面人行道","Xinzhuang Dist.","Touqian Sports Park","No.165, Toucheng St. (opposite)","35","1"
"1092","頭前國中","42","16","新莊區","20220109141919","25.054464","121.459318","中原路3至9號對面人行道","Xinzhuang Dist.","Touqian Junior High School","No.3 to No.9 , Zhongyuan Rd. (opposite)","25","1"
"1093","建國民權路口","34","13","新店區","20220109141925","24.983184","121.537462","建國路259號前人行道","Xindian Dist.","Jianguo Minquan Intersection","No.259, Jianguo Rd.","15","1"
"1094","聯邦公園","48","27","三重區","20220109141934","25.064447","121.483710","三民街/中華路","Sanchong Dist.","Lian Bang Park","Sanmin St./Zhonghua Rd.","20","1"
"1095","捷運蘆洲站","92","53","蘆洲區","20220109141918","25.091637","121.464031","三民路/中正路口","Luzhou Dist.","MRT Luzhou Sta.","Sanmin Rd./Zhongzheng Rd.","36","1"
"1096","集成成功路口","24","13","三重區","20220109141936","25.051542","121.488208","集成路2號至8號前人行道","Sanchong Dist.","Ji Cheng Cheng Gong Intersection","No.2 to No.8, Jicheng Rd.","10","1"
"1097","板橋國民運動中心","34","6","板橋區","20220109141943","25.022235","121.458152","英士路/智樂路","Banqiao Dist.","Banqiao Civil Sports Center","Yingshi Rd./Jhihle Rd.","28","1"
"1098","永安公園","38","13","板橋區","20220109141640","25.024478","121.477572","雙十路一段25號前人行道","Banqiao Dist.","Yongan Park","No.25, Sec. 1, Shuangshi Rd.","25","1"
"1099","捷運江子翠站(3號出口)","44","19","板橋區","20220109141941","25.029729","121.472359","文化路二段/雙十路二段(鄰近石雕公園/板橋農村公園)","Banqiao Dist.","MRT Jiangzicui Sta.(Exit 3)","Sec. 2, Wenhua Rd./Sec. 2, Shuangshi Rd.","23","1"
"1100","音樂公園","48","13","板橋區","20220109141932","25.028631","121.480460","大同街97號對面公園人行道","Banqiao Dist.","Yinyue Park","No.97, Datong St.","33","1"
"1101","捷運七張站(1號出口)","42","17","新店區","20220109141916","24.974996","121.542767","北新路二段/北新路二段121巷","Xindian Dist.","MRT Qizhang Sta. (Exit 1)","Sec. 2, Beixin Rd./Ln. 121, Sec. 2, Beixin Rd.","15","1"
"1102","北新國小","44","27","新店區","20220109141920","24.974233","121.544428","寶橋路8號前人行道","Xindian Dist.","BeiXin Elementary School","No.8, Baoqiao Rd.","16","1"
"1103","捷運新埔站(2號出口)","40","16","板橋區","20220109141921","25.022095","121.467598","文化路一段318號旁廣場","Banqiao Dist.","MRT Xinpu Sta.(Exit.2)","No.318, Sec. 1, Wenhua Rd.","24","1"
"1104","聯合醫院板橋院區","34","9","板橋區","20220109141941","25.023832","121.457773","龍泉街131號旁人行道(立體停車場前)","Banqiao Dist.","New Taipei City Hospital Banqiao Branch","No.131, Longquan St.","25","1"
"1105","捷運板橋站(3號出口)","68","60","板橋區","20220109141927","25.014797","121.462051","文化路一段117號對面人行道(鄰近板橋高鐵站)","Banqiao Dist.","MRT Banqiao Sta.(Exit.3)","No.117, Sec. 1, Wenhua Rd. (opposite)","8","1"
"1106","民生公園","42","14","板橋區","20220109141842","25.013087","121.475894","民生路一段/民生路一段30巷","Banqiao Dist.","Minsheng Park","Sec. 1, Minsheng Rd./Ln. 30, Sec. 1, Minsheng Rd.","28","1"
"1107","新北市政府(新府路)","56","24","板橋區","20220109141920","25.012374","121.464224","新府路1號對面人行道(鄰近板橋高鐵站/新北市市民廣場)","Banqiao Dist.","New Taipei City Hal ( Zinfu Rd.)","No.1, Xinfu Rd. (opposite)","32","1"
"1108","捷運板橋站(1號出口)","102","61","板橋區","20220109141920","25.013174","121.461900","縣民大道二段3號(秀泰影城門口)(鄰近板橋高鐵站)","Banqiao Dist.","MRT Banqiao Sta.(Exit.1)","No.3, Sec. 2, Xianmin Blvd.","40","1"
"1109","板橋地政事務所","52","22","板橋區","20220109141945","25.007983","121.463387","實踐路5號對面","Banqiao Dist.","Banqiao Land Office","No.5, Shijian Rd. (opposite)","29","1"
"1110","板橋戶政事務所","36","3","板橋區","20220109141928","25.012839","121.456308","中正路6號前人行道(鄰近林家花園(林本源園邸)/大觀義學(大觀書社))","Banqiao Dist.","Banqiao District Household Registration Office","No.6, Zhongzheng Rd.","33","1"
"1111","板橋和平公園","40","20","板橋區","20220109141919","24.997679","121.464326","重慶路355號前廣場","Banqiao Dist.","Banqiao Heping Park","No.355, Chongqing Rd.","20","1"
"1112","碧華公園","28","13","三重區","20220109141942","25.083741","121.487491","溪尾街303號(對面公園)","Sanchong Dist.","Bihua Park","No.303, Xiwei St. (opposite)","15","1"
"1113","五福里(五華街)","52","26","三重區","20220109141936","25.081725","121.493902","五華街64號對面人行道(碧華國中旁)","Sanchong Dist.","Wufu Village (Wuhua St.)","No.64, Wuhua St. (opposite)","24","1"
"1114","同安公園","30","12","三重區","20220109141925","25.057320","121.499067","正義南路/同安東街(正義南路側公園廣場)(鄰近新北市眷村文化園區（空軍三重一村）)","Sanchong Dist.","Tong An Park","Zhengyi S. Rd./Tong’an E. St.","18","1"
"1115","中華里(中華路二段)","38","11","新莊區","20220109141835","25.045951","121.453766","中華路2段31號對面","Xinzhuang Dist.","Zhonghua Village (Zhonghua Rd. Sec. 2 )","No.31, Sec. 2, Zhonghua Rd. (opposite)","27","1"
"1116","中華自治街口","36","10","新莊區","20220109141931","25.047855","121.453202","中華路2段/自治街口人行道(中港大排東側)","Xinzhuang Dist.","Zhonghua & Zizhi Intersection","Sec. 2, Zhonghua Rd/Zizhi St.","26","1"
"1117","捷運府中站(3號出口)","42","0","板橋區","20211227130238","25.008999","121.458776","府中路31號至53號對面(鄰近板橋慈惠宮/府中商圈(板橋後站商圈))","Banqiao Dist.","MRT Fuzhong Sta.(Exit.3)","No.31 to No.53, Fuzhong Rd. (opposite)","0","1"
"1118","捷運亞東醫院站(2號出口)","52","25","板橋區","20220109141940","24.997830","121.452315","南雅南路二段122-23號前人行道","Banqiao Dist.","MRT Far Eastern Hospital Sta.(Exit.2)","No.122-23, Sec. 2, Nanya S. Rd.","27","1"
"1119","新泰公園","36","6","新莊區","20220109141934","25.037200","121.444946","建中街116巷/建中街116巷3弄","Xinzhuang Dist.","Xintai Park","Ln. 116, Jianzhong St./Aly. 3, Ln. 116, Jianzhong St.","29","1"
"1120","上林里(環河東路一段)","38","18","永和區","20220109141939","25.014999","121.520951","環河東路一段/竹林路75巷25弄","Yonghe Dist.","Shanglin Village (Huanhe E. Rd. Sec. 1 )","Sec. 1, Huanhe E. Rd./Aly. 25, Ln. 75, Zhulin Rd.","20","1"
"1121","進安公園","22","11","三重區","20220109141945","25.086031","121.493774","仁義街258號至290號","Sanchong Dist.","Jinan Park","No.258 to No.290, Renyi St.","11","1"
"1122","自強溪尾街口","40","9","三重區","20220109141945","25.078220","121.490157","自強路4段/溪尾街","Sanchong Dist.","Ziqiang & Xiwei Intersection","Sec. 4, Ziqiang Rd./Xiwei St.","31","1"
"1123","捷運三重國小站","32","16","三重區","20220109141940","25.070418","121.497126","仁愛街/三和路3段11巷","Sanchong Dist.","MRT Sanchong Elementary School Sta.","Ren’ai St./Ln. 11, Sec. 3, Sanhe Rd.","16","1"
"1124","五堵火車站","56","25","汐止區","20220109141937","25.077493","121.666869","鄉長路一段人行道側","Xizhi Dist.","Wudu Railway Station","Sec. 1, Xiangzhang Rd.","30","1"
"1125","捷運南勢角站(4號出口)","76","24","中和區","20220109141935","24.989420","121.509950","捷運路3號(對面)(鄰近興南夜市)","Zhonghe Dist.","MRT Nanshijiao Sta.(Exit ˋ4)","No.3 , Jieyun Rd.","50","1"
"1126","柳堤公園","42","10","蘆洲區","20220109141937","25.087989","121.462192","長樂路125號對面公園通道","Luzhou Dist.","Liuti Park","No.125, Changle Rd. (opposite)","30","1"
"1127","新北市立圖書館總館","36","24","板橋區","20220109141921","25.001583","121.455524","貴興路119巷(鄰近新北市立圖書館總館)","Banqiao Dist.","New Taipei City Library","Ln. 119, Guixing Rd.","6","1"
"1128","永福國小","28","18","三重區","20220109141919","25.077714","121.480315","永福街/下竹圍街","Sanchong Dist.","Yong Fu Elementary School","Yongfu St./Xiazhuwei St.","10","1"
"1129","明志國小","64","6","泰山區","20220109141938","25.045729","121.426269","明志路二段324號對面人行道(鄰近明志書院)","Taishan Dist.","Mingzhi Elementary School","No.324, Sec. 2, Mingzhi Rd. (opposite)","58","1"
"1130","蘆洲三民公園","26","7","蘆洲區","20220109141924","25.094306","121.460134","三民路615號對面人行道(鄰近大台北都會公園)","Luzhou Dist.","Luchou Sanmin Park","No.615, Sanmin Rd. (opposite)","19","1"
